"state","year","income","medicare","medicaid"
"NY",2009,"75-100k",2.62938951199001,3.66821123302981
"NY",2009,">100k",4.0867375275968,5.70132969528329
"NC",2009,"<25k",5.91969297175045,4.61014939346867
"NC",2009,"25-50k",4.32515567493835,3.36835270116694
"NC",2009,"50-75k",1.95510218664735,1.52259808117655
"NC",2009,"75-100k",0.895634228216858,0.697503673533052
"NC",2009,">100k",0.958414938446996,0.746396150654787
"ND",2009,"<25k",0.327963968632799,0.229104016365496
"ND",2009,"25-50k",0.265747098533924,0.185641513808387
"ND",2009,"50-75k",0.124935397204228,0.0872754449369246
"ND",2009,"75-100k",0.061304766450733,0.0428253392430958
"ND",2009,">100k",0.0560487691783157,0.0391536856460961
"OH",2009,"<25k",8.35473309669297,5.79550437547394
"OH",2009,"25-50k",6.00157140926698,4.16316511366399
"OH",2009,"50-75k",2.6447580199427,1.83461356565835
"OH",2009,"75-100k",1.05815737046866,0.734021733491228
"OH",2009,">100k",1.17878010362869,0.817695211712492
"OK",2009,"<25k",2.33577489498235,1.50341422054996
"OK",2009,"25-50k",1.88523070289116,1.21342285758465
"OK",2009,"50-75k",0.874958509283156,0.563164313510369
"OK",2009,"75-100k",0.399420759072384,0.257085924873261
"OK",2009,">100k",0.383615133770953,0.246912683481763
"OR",2009,"<25k",1.77832869382886,1.24015972749439
"OR",2009,"25-50k",1.5450345251437,1.07746650117092
"OR",2009,"50-75k",0.777348975091284,0.542102760003053
"OR",2009,"75-100k",0.405789288167456,0.282986792475567
"OR",2009,">100k",0.4434985177687,0.309284218856071
"PA",2009,"<25k",9.10837371735679,6.02145136535871
"PA",2009,"25-50k",7.51340290300157,4.96703270777714
"PA",2009,"50-75k",3.50069113847878,2.31427059205134
"PA",2009,"75-100k",1.70985298237241,1.13036606695765
"PA",2009,">100k",1.95567925879045,1.29287926785516
"RI",2009,"<25k",0.653038424997718,0.638693813795132
"RI",2009,"25-50k",0.575050363287814,0.562418834165621
"RI",2009,"50-75k",0.258468210203164,0.252790709704467
"RI",2009,"75-100k",0.148323233177019,0.145065172041884
"RI",2009,">100k",0.186119768334286,0.182031470292896
"SC",2009,"<25k",3.12317343456616,2.08168130605974
"SC",2009,"25-50k",2.02610456719871,1.35045462252585
"SC",2009,"50-75k",1.01302842805296,0.67521141088275
"SC",2009,"75-100k",0.49551150590832,0.330272096762422
"SC",2009,">100k",0.533182064273851,0.355380563769235
"SD",2009,"<25k",0.430133997739928,0.280469836212882
"SD",2009,"25-50k",0.333489704874584,0.217452708682215
"SD",2009,"50-75k",0.178853971236277,0.116622132363953
"SD",2009,"75-100k",0.0641797891507486,0.0418485752018407
"SD",2009,">100k",0.0653425369984615,0.0426067475391088
"TN",2009,"<25k",4.62812012229369,2.90114276565424
"TN",2009,"25-50k",3.10433717670793,1.94595756038724
"TN",2009,"50-75k",1.3757220800771,0.8623730704268
"TN",2009,"75-100k",0.617640725209543,0.387168844880167
"TN",2009,">100k",0.605179895711741,0.379357758651557
"TX",2009,"<25k",13.2330124331657,9.06396824604471
"TX",2009,"25-50k",9.95473230005451,6.81850621098407
"TX",2009,"50-75k",4.8316668538333,3.30945619221602
"TX",2009,"75-100k",2.35566574495214,1.61351616787029
"TX",2009,">100k",2.94992266799436,2.0205531828849
"UT",2009,"<25k",0.67266626374281,0.469061164994437
"UT",2009,"25-50k",0.715844977448435,0.499170386826119
"UT",2009,"50-75k",0.400957054978928,0.27959389887444
"UT",2009,"75-100k",0.214657394933921,0.1496841051343
"UT",2009,">100k",0.268874308895905,0.187490444170704
"VT",2009,"<25k",0.30484767818778,0.389138894123855
"VT",2009,"25-50k",0.290052344427274,0.370252610154159
"VT",2009,"50-75k",0.176134309863933,0.224835927782594
