"year","r","hh","source","value"
2016,"AZ","hh5","hrntval",0.621419420835277
2016,"AZ","hh5","hedval",0.283396134901101
2016,"AZ","hh5","hcspval",0.225983903979635
2016,"AZ","hh5","hfinval",3.47973440449624e-05
2016,"AZ","hh5","hoival",0.000196242753861582
2016,"AZ","hh5","htotval",0.454481554434852
2016,"AR","hh1","hwsval",0.015061261555431
2016,"AR","hh1","hseval",0.0334806297777521
2016,"AR","hh1","hfrval",-0.0534287687494109
2016,"AR","hh1","hucval",0.104740944187723
2016,"AR","hh1","hwcval",0.132327887240682
2016,"AR","hh1","hssval",0.221373198285652
2016,"AR","hh1","hssival",0.604439579535882
2016,"AR","hh1","hpawval",0.678079453236291
2016,"AR","hh1","hvetval",0.410774427269666
2016,"AR","hh1","hsurval",0.268951000386413
2016,"AR","hh1","hdisval",0.333768978707491
2016,"AR","hh1","hretval",0.0138782294521321
2016,"AR","hh1","hintval",0.0235955413250894
2016,"AR","hh1","hdivval",0.0147952328708729
2016,"AR","hh1","hrntval",0.03479255303703
2016,"AR","hh1","hedval",0.128396999956449
2016,"AR","hh1","hcspval",0.105846150203187
2016,"AR","hh1","hfinval",0.956129636667578
2016,"AR","hh1","hoival",0
2016,"AR","hh1","htotval",0.0484511409170179
2016,"AR","hh2","hwsval",0.0956940587813948
2016,"AR","hh2","hseval",0.116311308237567
2016,"AR","hh2","hfrval",-0.0728482812281256
2016,"AR","hh2","hucval",0.242799489378982
2016,"AR","hh2","hwcval",0.672391643605224
2016,"AR","hh2","hssval",0.291477255629604
2016,"AR","hh2","hssival",0.153451088635975
2016,"AR","hh2","hpawval",0
2016,"AR","hh2","hvetval",0.293740475399101
2016,"AR","hh2","hsurval",0.158710961116953
2016,"AR","hh2","hdisval",0.431470687343718
2016,"AR","hh2","hretval",0.105865036911996
2016,"AR","hh2","hintval",0.0391469218267154
2016,"AR","hh2","hdivval",0.0917881096531677
2016,"AR","hh2","hrntval",0.0498039640811251
2016,"AR","hh2","hedval",0.172059603396079
2016,"AR","hh2","hcspval",0.243662566788458
2016,"AR","hh2","hfinval",0.0382336267725097
2016,"AR","hh2","hoival",0.0004909997086538
2016,"AR","hh2","htotval",0.119489503872588
2016,"AR","hh3","hwsval",0.166469276079181
2016,"AR","hh3","hseval",0.160243254331661
2016,"AR","hh3","hfrval",1.49107740822466e-05
2016,"AR","hh3","hucval",0.321979616106325
2016,"AR","hh3","hwcval",0.0330458236960251
2016,"AR","hh3","hssval",0.267708692626833
2016,"AR","hh3","hssival",0.143991290932415
2016,"AR","hh3","hpawval",0.265456761226161
2016,"AR","hh3","hvetval",0.156580562821721
2016,"AR","hh3","hsurval",0.0690126237598524
2016,"AR","hh3","hdisval",0.186070026669832
2016,"AR","hh3","hretval",0.310180336513416
2016,"AR","hh3","hintval",0.142758428034452
2016,"AR","hh3","hdivval",0.0759890808300871
2016,"AR","hh3","hrntval",0.185378563311132
2016,"AR","hh3","hedval",0.324260293101248
2016,"AR","hh3","hcspval",0.0784218887625438
2016,"AR","hh3","hfinval",0
2016,"AR","hh3","hoival",0.876721810922766
2016,"AR","hh3","htotval",0.181421995974961
2016,"AR","hh4","hwsval",0.215272775334858
2016,"AR","hh4","hseval",0.230386666538901
2016,"AR","hh4","hfrval",0.396207065294837
2016,"AR","hh4","hucval",0.252252141788104
2016,"AR","hh4","hwcval",0.159639466316615
2016,"AR","hh4","hssval",0.152164730012366
2016,"AR","hh4","hssival",0.0533283775756173
2016,"AR","hh4","hpawval",0
2016,"AR","hh4","hvetval",0.0371014713954824
2016,"AR","hh4","hsurval",0.447702867793003
2016,"AR","hh4","hdisval",0.0486868275930162
2016,"AR","hh4","hretval",0.236862445500086
2016,"AR","hh4","hintval",0.307586306730232
2016,"AR","hh4","hdivval",0.215057541523257
2016,"AR","hh4","hrntval",0.200540655881063
2016,"AR","hh4","hedval",0.190500840063571
2016,"AR","hh4","hcspval",0.468341727950065
2016,"AR","hh4","hfinval",0
2016,"AR","hh4","hoival",0.121501691546107
2016,"AR","hh4","htotval",0.211099555733114
2016,"AR","hh5","hwsval",0.507502628249136
2016,"AR","hh5","hseval",0.459578141114119
2016,"AR","hh5","hfrval",0.730055073908617
2016,"AR","hh5","hucval",0.0782278085388651
2016,"AR","hh5","hwcval",0.00259517914145345
2016,"AR","hh5","hssval",0.0672761234455449
2016,"AR","hh5","hssival",0.0447896633201119
2016,"AR","hh5","hpawval",0.0564637855375483
2016,"AR","hh5","hvetval",0.10180306311403
2016,"AR","hh5","hsurval",0.0556225469437791
2016,"AR","hh5","hdisval",3.47968594299618e-06
2016,"AR","hh5","hretval",0.33321395162237
2016,"AR","hh5","hintval",0.486912802083511
2016,"AR","hh5","hdivval",0.602370035122616
2016,"AR","hh5","hrntval",0.52948426368965
